cluster_id	length	description	n_members	member_uniprot_accs
UniRef50_A0A9J7A081	776	peptidoglycan glycosyltransferase n=8 Tax=Gammaproteobacteria TaxID=1236 RepID=A0A9J7A081_9GAMM	3	A0A9J7A081,A0A0T5Z2Q7,A0A0T5YSQ3
UniRef50_A0A9J7AJX7	588	Lytic transglycosylase domain-containing protein n=11 Tax=Nisaea TaxID=390876 RepID=A0A9J7AJX7_9PROT	1	A0A9J7AJX7
UniRef50_A0A9J7ARE4	487	Transporter substrate-binding domain-containing protein n=2 Tax=Nisaea TaxID=390876 RepID=A0A9J7ARE4_9PROT	1	A0A9J7ARE4
UniRef50_A0A9J7AVD6	709	Lytic transglycosylase domain-containing protein n=13 Tax=Nisaea TaxID=390876 RepID=A0A9J7AVD6_9PROT	1	A0A9J7AVD6
UniRef50_A0A9J7AY52	278	Transglycosylase SLT domain-containing protein n=11 Tax=Nisaea TaxID=390876 RepID=A0A9J7AY52_9PROT	1	A0A9J7AY52
UniRef50_A0A9J7B092	661	PBP1A family penicillin-binding protein n=11 Tax=Nisaea TaxID=390876 RepID=A0A9J7B092_9PROT	1	A0A9J7B092
UniRef50_A0A9J7BK59	493	Transporter substrate-binding domain-containing protein n=2 Tax=Occallatibacter riparius TaxID=1002689 RepID=A0A9J7BK59_9BACT	2	A0A9J7BIN5,A0A9J7BK59
UniRef50_A0A9J7BLX0	353	Uncharacterized protein n=3 Tax=Acidobacteriaceae TaxID=204434 RepID=A0A9J7BLX0_9BACT	1	A0A9J7BLX0
UniRef50_A0A9J7BU52	857	PBP1A family penicillin-binding protein n=2 Tax=Acidobacteriaceae TaxID=204434 RepID=A0A9J7BU52_9BACT	1	A0A9J7BU52
UniRef50_A0A9J7BW47	203	Transglycosylase SLT domain-containing protein n=1 Tax=Occallatibacter riparius TaxID=1002689 RepID=A0A9J7BW47_9BACT	1	A0A9J7BW47
UniRef50_A0A9J7BWN5	245	Lytic transglycosylase domain-containing protein n=45 Tax=Acidobacteriaceae TaxID=204434 RepID=A0A9J7BWN5_9BACT	23	A0A2N9L7Q1,A0A4Q7YXC6,A0A7Y9PHW9,A0AAU7DEZ6,A0ABW1Z8Z6,A0A239L5R9,A0A4Q0T0Z4,A0A7W8IM12,A0A7W8N5J2,A0ABW1EEB0,A0A7W8E959,A0A9X0U3G1,A0AAU7DAR9,G8NZE4,A0A916RXG4,A0A9J7BWN5,A0AAU7ZUV9,E8V758,E8WZN1,A0A3R9R2C2,A0A852VB95,A0AAU7D1R3,A0AAU7Z9A2
UniRef50_A0A9J7HN63	827	Lysozyme g n=5 Tax=Branchiostoma TaxID=7737 RepID=A0A9J7HN63_BRAFL	4	A0A6P4XWX8,A0A6P4Y7E9,C3YYL0,A0A9J7HN63
UniRef50_A0A9J7KMI2	378	Lysozyme g n=6 Tax=Bilateria TaxID=33213 RepID=A0A9J7KMI2_BRAFL	5	A0A6P4Z7J9,A0A6P4ZBF7,A0A9J7KMI2,A0A1S3K769,A0A8K0EMA0
UniRef50_A0A9J7KRP2	106	lysozyme n=1 Tax=Branchiostoma floridae TaxID=7739 RepID=A0A9J7KRP2_BRAFL	1	A0A9J7KRP2
UniRef50_A0A9J7L9Q1	167	lysozyme n=13 Tax=Deuterostomia TaxID=33511 RepID=A0A9J7L9Q1_BRAFL	8	A0A8K0F047,C3ZBZ4,W6ECJ7,A0A9J7MTH8,C3ZBZ3,A0A6P4ZGD2,A0A8K0EU82,A0A9J7L9Q1
UniRef50_A0A9J7MTV4	148	lysozyme n=3 Tax=Branchiostoma TaxID=7737 RepID=A0A9J7MTV4_BRAFL	2	A0A8K0A6E7,A0A9J7MTV4
UniRef50_A0A9J8BC03	135	lysozyme n=4 Tax=Cyprinus carpio TaxID=7962 RepID=A0A9J8BC03_CYPCA	4	A0A9J8BC03,A0A8C1RZ27,A0A8C1NG44,A0A8C2F8Z1
UniRef50_A0A9J9H7X9	234	Lytic transglycosylase, catalytic n=10 Tax=Sphingomonadaceae TaxID=41297 RepID=A0A9J9H7X9_RHIWR	4	A0A5D9C3U2,A0A840Z3M9,A0A4R6FPJ2,A0A9J9H7X9
UniRef50_A0A9K2PQJ2	167	TtsA-like Glycoside hydrolase family 108 domain-containing protein n=243 RepID=A0A9K2PQJ2_NEIM8	65	A0A0C1H2Z8,A0A0Y6IAS4,A0A378VPF9,A0A7G2JYU7,A0A7G2JZ65,A0A806JBV1,A0A859IDE7,A0A9X0ZVF6,A0AAD2KP88,A0AB36RT50,E4ZB07,X5F901,A0A379LIQ9,A0A3S4Z3M4,A0A7D5E122,A0AAW6Z929,A0ABX3BP15,A1KTS9,C6SID8,I4E633,A0A378UDU6,A0A425B1U5,A0A7G2JWE1,A0A7G2K046,A0A8S5LFE0,A0A8S5PIQ2,A0A9K2PQJ2,A0AAX1M651,C5S017,Q7DDI9,A0A0H5DLZ1,A0A1R4EFB5,A0A1X3DKJ8,A0A248ZYK6,A0A263HCQ0,A0A2A2AN61,A0A2I1XBG9,A0A7G2K0R9,A0A7G2K0V4,A0A8S5QI10,A0A8S5R4A8,A0AA42JGQ5,A0AAV2U611,A0AAW4RFJ9,A0AAX3IQ19,A0AB33CGD4,A0ABV1JLW7,B8F5A4,E0N9B6,A0A0U1RIQ5,A0A2S9S0V8,A0A378TV44,A0A7G2JZ64,A0A836MF21,A0A8S5LGE5,A0A9X9HZF0,A0A9X9N272,A0AAQ1YN95,A0AAX2J3D9,A0AB37K4W7,A0AB38DMP0,A0ABX3WMY7,C6SDC1,E6MUE8,F5S5B7
UniRef50_A0A9K3DA44	70	Glycoside hydrolase, family 22 n=1 Tax=Kipferlia bialata TaxID=797122 RepID=A0A9K3DA44_9EUKA	1	A0A9K3DA44
UniRef50_A0A9K3DAB5	68	Glycoside hydrolase, family 22 (Fragment) n=1 Tax=Kipferlia bialata TaxID=797122 RepID=A0A9K3DAB5_9EUKA	1	A0A9K3DAB5
UniRef50_A0A9L0JKG9	138	Lactose synthase B protein n=1 Tax=Equus asinus TaxID=9793 RepID=A0A9L0JKG9_EQUAS	1	A0A9L0JKG9
UniRef50_A0A9L0SZF6	135	Lactose synthase B protein n=1 Tax=Equus caballus TaxID=9796 RepID=A0A9L0SZF6_HORSE	1	A0A9L0SZF6
UniRef50_A0A9N7CVU8	91	Lysozyme n=14 Tax=Acetobacteraceae TaxID=433 RepID=A0A9N7CVU8_9PROT	2	A0A9N7CVU8,A0A2G4R9V6
UniRef50_A0A9N7CX03	349	Murein transglycosylase n=62 Tax=Acetobacteraceae TaxID=433 RepID=A0A9N7CX03_9PROT	27	A0A318Q8B7,A0A347WB70,A0ABQ0PGH8,A0ABX2ACT1,A0A181CDD6,A0A2S3W3U5,A0A318PU06,A0A318PUD0,A0A318QWC7,A0A371Z374,A0A9N7CX03,A0AAW5EW85,A0ABT3K608,A0A318QY20,A0A365YYR9,A0A4P5NQ74,A0A0D6Q6E8,A0A0M0EIC2,A0A850NWA0,A0ABQ0SF57,A0A0D6Q0R4,A0A0N1FEN7,A0A2V4QWD8,A0A857FM73,A0ABQ6VYX2,D5QIU9,G2I6W3
UniRef50_A0A9N7H2F7	354	Lytic transglycosylase n=45 Tax=Acetobacteraceae TaxID=433 RepID=A0A9N7H2F7_9PROT	22	A0A371YZN3,A0A0D6Q037,A0A318QGE1,A0A318QUR5,A0A4P5NX98,A0A850P0G1,A0A0M0EGQ2,A0A0N1FLH4,A0A181C7K6,A0A347W9G5,A0A365YV87,A0ABQ0PDI6,A0A2V4RM51,A0A318PJY5,A0A318QD63,A0A857FW74,A0ABQ6VYC7,A0ABX5P9P9,G2I1J0,A0A0D6Q5U6,A0A9N7H2F7,A0ABX2ADH5
UniRef50_A0A9N7KYL6	348	Glycosyl transferase family 51 domain-containing protein n=3 Tax=Capsulimonas TaxID=2494209 RepID=A0A9N7KYL6_9BACT	1	A0A9N7KYL6
UniRef50_A0A9N7L9I5	503	Peptidase C39 domain-containing protein n=4 Tax=Capsulimonas TaxID=2494209 RepID=A0A9N7L9I5_9BACT	1	A0A9N7L9I5
UniRef50_A0A9N7N0K7	186	Chitinase-like protein 1 n=2 Tax=Striga hermonthica TaxID=68872 RepID=A0A9N7N0K7_STRHE	2	A0A9N7N0S5,A0A9N7N0K7
UniRef50_A0A9N7NAX4	123	Chitinase-like protein 1 (Fragment) n=1 Tax=Striga hermonthica TaxID=68872 RepID=A0A9N7NAX4_STRHE	1	A0A9N7NAX4
UniRef50_A0A9N7NU65	276	chitinase n=3 Tax=lamiids TaxID=91888 RepID=A0A9N7NU65_STRHE	3	A0A9N7NU65,A0A5A7P548,A0A6P6WYW0
UniRef50_A0A9N7TIJ1	283	Glycosyl hydrolases family 22 (GH22) domain-containing protein n=2 Tax=Pleuronectes platessa TaxID=8262 RepID=A0A9N7TIJ1_PLEPL	1	A0A9N7TIJ1
UniRef50_A0A9N7TIU1	167	lysozyme n=3 Tax=Pleuronectoidei TaxID=30942 RepID=A0A9N7TIU1_PLEPL	1	A0A9N7TIU1
UniRef50_A0A9N8CYF2	1171	Membrane-bound lytic murein transglycosylase D n=26 Tax=Citrobacter TaxID=544 RepID=A0A9N8CYF2_9ENTR	2	A0A7X1EJ87,A0A9N8CYF2
UniRef50_A0A9N8ESH2	333	Uncharacterized protein n=1 Tax=Seminavis robusta TaxID=568900 RepID=A0A9N8ESH2_9STRA	1	A0A9N8ESH2
UniRef50_A0A9N8I0B8	1305	F5/8 type C domain (Partial) (Fragment) n=1 Tax=Seminavis robusta TaxID=568900 RepID=A0A9N8I0B8_9STRA	1	A0A9N8I0B8
UniRef50_A0A9N8J5T2	450	Lysozyme n=5 Tax=Flavobacterium TaxID=237 RepID=A0A9N8J5T2_9FLAO	1	A0A9N8J5T2
UniRef50_A0A9N8MDQ4	801	Glycyl-glycine endopeptidase LytM n=4 Tax=Chryseobacterium TaxID=59732 RepID=A0A9N8MDQ4_9FLAO	1	A0A9N8MDQ4
UniRef50_A0A9N8MMB2	776	Chitinase n=29 Tax=Burkholderiaceae TaxID=119060 RepID=A0A9N8MMB2_9BURK	1	A0A9N8MMB2
UniRef50_A0A9N8Q1R0	258	Lysozyme n=2 Tax=Plusiinae TaxID=95186 RepID=A0A9N8Q1R0_CHRIL	2	A0A7E5W495,A0A9N8Q1R0
UniRef50_A0A9N8R2J8	222	Transglycosylase SLT domain-containing protein n=5 Tax=Burkholderiaceae TaxID=119060 RepID=A0A9N8R2J8_9BURK	1	A0A9N8R2J8
UniRef50_A0A9N8RW88	799	Membrane-bound lytic murein transglycosylase F n=3 Tax=Burkholderiaceae TaxID=119060 RepID=A0A9N8RW88_9BURK	1	A0A9N8RW88
UniRef50_A0A9N8S1I4	826	Uncharacterized protein n=7 Tax=Paraburkholderia TaxID=1822464 RepID=A0A9N8S1I4_9BURK	1	A0A9N8S1I4
UniRef50_A0A9N8S2K2	216	Lysozyme n=27 Tax=Burkholderiaceae TaxID=119060 RepID=A0A9N8S2K2_9BURK	3	A0A9N8S2K2,A0A6L3MYH5,A0A1R1JDD1
UniRef50_A0A9N8X0E1	222	Membrane-bound lytic murein transglycosylase F n=13 Tax=Paraburkholderia TaxID=1822464 RepID=A0A9N8X0E1_9BURK	3	A0A1H4GGL1,A0ABN7QRE6,A0A9N8X0E1
UniRef50_A0A9N9BCW6	77	3476_t:CDS:1 (Fragment) n=1 Tax=Racocetra fulgida TaxID=60492 RepID=A0A9N9BCW6_9GLOM	1	A0A9N9BCW6
UniRef50_A0A9N9ERE7	280	3185_t:CDS:1 (Fragment) n=1 Tax=Acaulospora morrowiae TaxID=94023 RepID=A0A9N9ERE7_9GLOM	1	A0A9N9ERE7
UniRef50_A0A9N9J917	95	14246_t:CDS:1 (Fragment) n=1 Tax=Racocetra fulgida TaxID=60492 RepID=A0A9N9J917_9GLOM	1	A0A9N9J917
UniRef50_A0A9N9KVX5	289	Lysozyme n=5 Tax=Helotiales TaxID=5178 RepID=A0A9N9KVX5_9HELO	5	H0EY40,A0A9N9KVX5,A0A9N9PZH5,S3D2D9,A0A194XFQ9
UniRef50_A0A9N9L6D4	237	Glycoside hydrolase family 23 protein n=2 Tax=Hymenoscyphus TaxID=5182 RepID=A0A9N9L6D4_9HELO	2	A0A9N9L6D4,A0A9N9LM95
UniRef50_A0A9N9MAE6	128	lysozyme n=1 Tax=Ceutorhynchus assimilis TaxID=467358 RepID=A0A9N9MAE6_9CUCU	1	A0A9N9MAE6
UniRef50_A0A9N9MCB6	176	lysozyme n=16 Tax=Cucujiformia TaxID=41088 RepID=A0A9N9MCB6_9CUCU	13	A0A0U4D3U9,A0A834HV28,A0A9N9MCB6,A0A9P0F9F6,A0ABD1EIV0,A0ABD1EMZ0,A0ABD2MJR1,A0A834HT65,A0AAW1U927,A0A1B1RUX5,A0A834HQ86,B6RQP3,A0A834HK44
UniRef50_A0A9N9MGA2	745	lysozyme n=1 Tax=Ceutorhynchus assimilis TaxID=467358 RepID=A0A9N9MGA2_9CUCU	1	A0A9N9MGA2
UniRef50_A0A9N9PSF8	348	Uncharacterized protein n=2 Tax=Hymenoscyphus TaxID=5182 RepID=A0A9N9PSF8_9HELO	1	A0A9N9PSF8
UniRef50_A0A9N9QTE4	542	Lysozyme n=2 Tax=Crambinae TaxID=40081 RepID=A0A9N9QTE4_9NEOP	2	A0ABN8AZX1,A0A9N9QTE4
UniRef50_A0A9N9RLC1	149	lysozyme n=2 Tax=Chironomini TaxID=72530 RepID=A0A9N9RLC1_9DIPT	2	A0A9J6C9M8,A0A9N9RLC1
UniRef50_A0A9N9RP81	149	lysozyme n=2 Tax=Chironomini TaxID=72530 RepID=A0A9N9RP81_9DIPT	2	A0A9J6CAC2,A0A9N9RP81
UniRef50_A0A9N9RPT3	1225	lysozyme n=2 Tax=Chironomus TaxID=7150 RepID=A0A9N9RPT3_9DIPT	1	A0A9N9RPT3
UniRef50_A0A9N9RQL8	1761	lysozyme n=2 Tax=Chironomus TaxID=7150 RepID=A0A9N9RQL8_9DIPT	1	A0A9N9RQL8
UniRef50_A0A9N9VQB6	281	Transglycosylase SLT domain-containing protein n=27 Tax=Clonostachys TaxID=110564 RepID=A0A9N9VQB6_9HYPO	23	A0A8H7NCN5,A0A9N9ZB47,A0AA35MDE2,A0AA35QG39,A0A0B7KD76,A0A9N9UCT8,A0A9N9USA6,A0A9N9VQB6,A0A9N9Z7W9,A0A9P0EPD4,A0ABY6U9L8,A0A0B7KIP3,A0A9N9U1T1,A0A9P0EBX3,A0A0B7JV65,A0A0B7K8F7,A0A9N9VCA4,A0ABY6TZY2,A0A9N9VT23,A0A9N9YF17,A0AA35LTZ7,A0AA35M5Y2,A0ABY6US85
UniRef50_A0A9N9W3A9	254	Transglycosylase SLT domain-containing protein n=8 Tax=Clonostachys TaxID=110564 RepID=A0A9N9W3A9_9HYPO	7	A0A0B7KNY0,A0A9N9Y1Y8,A0A9P0ERG1,A0A8H7K6H2,A0A9N9W3A9,A0AA35Q211,A0ABY6TRR7
UniRef50_A0A9N9WTF0	157	lysozyme n=4 Tax=Chironomus TaxID=7150 RepID=A0A9N9WTF0_9DIPT	2	A0A9N9RJ96,A0A9N9WTF0
UniRef50_A0A9P0CCG6	343	lysozyme n=1 Tax=Psylliodes chrysocephalus TaxID=3402493 RepID=A0A9P0CCG6_9CUCU	1	A0A9P0CCG6
UniRef50_A0A9P0CDV0	160	lysozyme n=3 Tax=Bemisia tabaci TaxID=7038 RepID=A0A9P0CDV0_BEMTA	2	A0A9P0AEB0,A0A9P0CDV0
UniRef50_A0A9P0CJ31	134	lysozyme n=1 Tax=Psylliodes chrysocephalus TaxID=3402493 RepID=A0A9P0CJ31_9CUCU	1	A0A9P0CJ31
UniRef50_A0A9P0F937	142	lysozyme n=1 Tax=Brassicogethes aeneus TaxID=1431903 RepID=A0A9P0F937_BRAAE	1	A0A9P0F937
UniRef50_A0A9P0F978	789	lysozyme n=1 Tax=Brassicogethes aeneus TaxID=1431903 RepID=A0A9P0F978_BRAAE	1	A0A9P0F978
UniRef50_A0A9P0F983	245	lysozyme n=2 Tax=Bemisia tabaci TaxID=7038 RepID=A0A9P0F983_BEMTA	2	A0A678Q2Z0,A0A9P0F983
UniRef50_A0A9P0GIX6	1072	lysozyme n=1 Tax=Phaedon cochleariae TaxID=80249 RepID=A0A9P0GIX6_PHACE	1	A0A9P0GIX6
UniRef50_A0A9P0HAE5	289	lysozyme n=2 Tax=Nezara viridula TaxID=85310 RepID=A0A9P0HAE5_NEZVI	2	A0A9P0HA95,A0A9P0HAE5
UniRef50_A0A9P0KD65	704	lysozyme n=1 Tax=Acanthoscelides obtectus TaxID=200917 RepID=A0A9P0KD65_ACAOB	1	A0A9P0KD65
UniRef50_A0A9P0L5Q7	137	lysozyme n=1 Tax=Acanthoscelides obtectus TaxID=200917 RepID=A0A9P0L5Q7_ACAOB	1	A0A9P0L5Q7
UniRef50_A0A9P0LHF2	111	lysozyme n=1 Tax=Acanthoscelides obtectus TaxID=200917 RepID=A0A9P0LHF2_ACAOB	1	A0A9P0LHF2
UniRef50_A0A9P0MMP9	342	Glycoside hydrolase family 19 catalytic domain-containing protein n=1 Tax=Nezara viridula TaxID=85310 RepID=A0A9P0MMP9_NEZVI	1	A0A9P0MMP9
UniRef50_A0A9P0MQA6	227	Glycoside hydrolase family 19 catalytic domain-containing protein n=5 Tax=Pentatominae TaxID=286710 RepID=A0A9P0MQA6_NEZVI	2	A0A9P0MQA6,A0A9P0MTJ4
UniRef50_A0A9P0V1W6	215	Penicillin-binding protein 1A n=36 Tax=Enterobacterales TaxID=91347 RepID=A0A9P0V1W6_KLEVA	3	A0ABS7RZW4,A0A9P0V1W6,A0A3Z9NXW2
UniRef50_A0A9P0X9P7	981	Uncharacterized protein n=1 Tax=Pieris brassicae TaxID=7116 RepID=A0A9P0X9P7_PIEBR	1	A0A9P0X9P7
UniRef50_A0A9P0YDX2	1430	Internal core protein n=7 Tax=Studiervirinae TaxID=2731653 RepID=A0A9P0YDX2_9CAUD	6	A0A8A6CAB6,A0A9E7NKS4,A0A7S6L0L7,A0AAE8XEC6,A0A9P0YDX2,A0ABZ2CUK0
UniRef50_A0A9P1EJ20	194	Glycoside hydrolase family 19 catalytic domain-containing protein n=8 Tax=Pentapetalae TaxID=1437201 RepID=A0A9P1EJ20_CUSEU	7	A0A9P1EJ20,A0A067CZJ3,A0A8X7V7N0,A0A7J9HPK5,B7FKD3,A0AAV0YXM1,I3SDD9
UniRef50_A0A9P1JKG2	690	Penicillin-binding protein 2d n=375 Tax=Bacillales TaxID=1385 RepID=A0A9P1JKG2_BACAS	20	I2CBD9,A7Z9W6,A0AAP7N9K4,A0A9P1JKG2,A0AAI8HKD9,A0A150F4B2,A0AAP4DHP2,A0A6A8LBU6,A0ABC8DE38,H1ADP0,A0A5Q3BUQ6,A0A7Z0WZY0,A0AAJ3Z2U5,A0A0T6BK17,A0AAW6K4X6,Q65DS3,A0A7D7GWD8,A0AA90EZH1,A0ABX3I8R7,A0ABY3FRW0
UniRef50_A0A9P1JTJ5	76	Biosynthetic peptidoglycan transglycosylase n=3 Tax=Pseudomonadota TaxID=1224 RepID=A0A9P1JTJ5_9PROT	3	A0A9P1JTJ5,A0A109L0R9,A0ABN5X3M3
UniRef50_A0A9P1KCU5	174	Uncharacterized protein n=4 Tax=Limnospira TaxID=2596745 RepID=A0A9P1KCU5_9CYAN	3	A0A9P1KCU5,A0ABU9EIC9,B5W7U7
UniRef50_A0A9P1KD78	767	Bifunctional glycosyl transferase/transpeptidase, Penicillin-binding protein 1C n=15 Tax=Cyanophyceae TaxID=3028117 RepID=A0A9P1KD78_9CYAN	4	A0A9P1KD78,A0A5M3T3F1,B5W978,A0ABU9EF33
UniRef50_A0A9P1KDH2	94	Chitinase n=5 Tax=Limnospira TaxID=2596745 RepID=A0A9P1KDH2_9CYAN	1	A0A5M3TAG5
UniRef50_A0A9P1KE77	260	Lysozyme, glycoside hydrolase family 24 n=22 Tax=Cyanophyceae TaxID=3028117 RepID=A0A9P1KE77_9CYAN	9	A0A073CSF2,A0A1Z3HR90,A0A9P1KE77,A0A1J1JD70,A0A5M3T9M6,B5W3E0,A0A4P5ZIU8,A0ABU9EPZ8,A0A6J7ZL04
UniRef50_A0A9P1KEZ0	706	Penicillin-binding protein pbpC/mrcB-like n=18 Tax=Cyanophyceae TaxID=3028117 RepID=A0A9P1KEZ0_9CYAN	6	A0A9P1KEZ0,B5W692,A0A6H1TTY0,A0A5M3T9R8,A0ABU5UAW2,A0ABU9ERY8
UniRef50_A0A9P1KJS5	228	Secretion activating protein n=32 Tax=Oscillatoriales TaxID=1150 RepID=A0A9P1KJS5_9CYAN	15	A0ABT2N9P7,B5W420,A0A7Z9E3S6,A0A0F5YGN4,U7QJ10,A0A5M3TE18,A0A9W4GAG4,A0ABU5U4N9,K9TNU7,A0A1J1LGV5,A0A9P1KJS5,A0ABR9UDN7,A0ABS3FXM4,A0ABT2MJ13,A0ABU9EME8
UniRef50_A0A9P1KYT7	338	Lysozyme n=2 Tax=Paraclostridium TaxID=1849822 RepID=A0A9P1KYT7_PARSO	1	A0A9P1KYT7
UniRef50_A0A9P1N8W1	929	Glycoside hydrolase family 19 catalytic domain-containing protein n=1 Tax=Caenorhabditis angaria TaxID=860376 RepID=A0A9P1N8W1_9PELO	1	A0A9P1N8W1
UniRef50_A0A9P1NN48	593	Transglycosylase SLT domain-containing protein n=1 Tax=Azospirillum baldaniorum TaxID=1064539 RepID=A0A9P1NN48_9PROT	1	A0A9P1NN48
UniRef50_A0A9P1NPS1	221	Transglycosylase SLT domain-containing protein n=83 Tax=Alphaproteobacteria TaxID=28211 RepID=A0A9P1NPS1_9PROT	32	A0A160JEL6,A0A235HHD1,A0A2B8B720,A0A431VLH7,A0A4D8Q794,A0A9P1NPS1,A0AAC8VYD1,A0A1X7GVR8,A0A2U9S7C1,A0A418W1D0,A0ABS1FE88,A0ABS1HTC3,A0ABU0WQ48,A0ABX2T4S3,A0A433JAN2,A0A4D8RHB4,A0A560BP44,A0A5A9GGC5,A0A6L3B0M3,A0A9W7U098,A0ABS4SDH4,A0ABU0MG51,A0ABW8V6W8,A0A0P0EMV8,A0A2S2CRJ3,A0ABU4P0E5,A0ABW0G5Y1,A0ABX2KJM6,A0ABX2KPK7,G7Z668,A0A060DS82,A0A6N1ASJ5
UniRef50_A0A9P1NSI2	164	Transglycosylase SLT domain-containing protein n=5 Tax=Azospirillum TaxID=191 RepID=A0A9P1NSI2_9PROT	3	A0A4D8Q1D5,A0A9P1NSI2,A0ABS1I6N0
UniRef50_A0A9P1RCJ2	74	Membrane-bound lytic murein transglycosylase B n=3 Tax=Gammaproteobacteria TaxID=1236 RepID=A0A9P1RCJ2_PSEAI	1	A0A9P1RCJ2
UniRef50_A0A9P2LC84	595	Transglycosylase SLT domain-containing protein n=7 Tax=Gammaproteobacteria TaxID=1236 RepID=A0A9P2LC84_ACIBA	1	A0A9P2LC84
UniRef50_A0A9P3DG01	373	Glycosyl transferase family 51 domain-containing protein n=5 Tax=Oscillatoriophycideae TaxID=1301283 RepID=A0A9P3DG01_MICAE	4	L7EFK2,A0A9P3DG01,T2JY31,A0A073CB30
UniRef50_A0A9P3FFW6	227	Lysozyme n=4 Tax=Mycosphaerellaceae TaxID=93133 RepID=A0A9P3FFW6_9PEZI	4	A0A2S6C6Q3,A0A9P3FFW6,A0A2G5IBN1,A0A9Q9ECY7
UniRef50_A0A9P3HEW6	319	Chitosanase n=1 Tax=Entomortierella parvispora TaxID=205924 RepID=A0A9P3HEW6_9FUNG	1	A0A9P3HEW6
UniRef50_A0A9P3UI38	111	Transglycosylase SLT domain-containing protein n=15 Tax=Enterobacteriaceae TaxID=543 RepID=A0A9P3UI38_KLEVA	3	A0A376YLR2,A0A5X6EX79,A0A9P3UI38
UniRef50_A0A9P4GD88	261	Transglycosylase SLT domain-containing protein (Fragment) n=1 Tax=Cucurbitaria berberidis CBS 394.84 TaxID=1168544 RepID=A0A9P4GD88_9PLEO	1	A0A9P4GD88
UniRef50_A0A9P4I897	256	Lysozyme-like protein (Fragment) n=1 Tax=Rhizodiscina lignyota TaxID=1504668 RepID=A0A9P4I897_9PEZI	1	A0A9P4I897
UniRef50_A0A9P4IMU2	198	Transglycosylase SLT domain-containing protein (Fragment) n=2 Tax=Pleosporomycetidae TaxID=451868 RepID=A0A9P4IMU2_9PEZI	2	A0A9P4IMU2,A0A6A5TQX7
UniRef50_A0A9P4J4L8	763	LysM domain-containing protein n=1 Tax=Myriangium duriaei CBS 260.36 TaxID=1168546 RepID=A0A9P4J4L8_9PEZI	1	A0A9P4J4L8
UniRef50_A0A9P4K259	349	LysM domain-containing protein n=2 Tax=Pleosporales incertae sedis TaxID=147498 RepID=A0A9P4K259_9PLEO	2	A0A9P4K259,A0A7C8IE67
UniRef50_A0A9P4K2U2	267	Transglycosylase SLT domain-containing protein n=1 Tax=Lojkania enalia TaxID=147567 RepID=A0A9P4K2U2_9PLEO	1	A0A9P4K2U2
UniRef50_A0A9P4M9Q3	573	Uncharacterized protein n=1 Tax=Rhizodiscina lignyota TaxID=1504668 RepID=A0A9P4M9Q3_9PEZI	1	A0A9P4M9Q3
UniRef50_A0A9P4PAS6	484	WD40 repeat-like protein (Fragment) n=3 Tax=Didymosphaeriaceae TaxID=221678 RepID=A0A9P4PAS6_9PLEO	2	A0ABR3S5J6,A0AAN6RM70
UniRef50_A0A9P4PBK9	279	Transglycosylase SLT domain-containing protein n=4 Tax=Didymosphaeriaceae TaxID=221678 RepID=A0A9P4PBK9_9PLEO	4	A0A177CV11,A0A6A5VFI6,A0A9P4PBK9,A0A9W8XRU8
UniRef50_A0A9P4PNU9	541	Transglycosylase SLT domain-containing protein n=11 Tax=Dothideomycetes TaxID=147541 RepID=A0A9P4PNU9_9PLEO	3	A0A9P4PNU9,A0A6A6SY19,A0A9P6KVW2
UniRef50_A0A9P4VRJ5	354	Carbohydrate-binding module family 50 protein n=1 Tax=Patellaria atrata CBS 101060 TaxID=1346257 RepID=A0A9P4VRJ5_9PEZI	1	A0A9P4VRJ5
UniRef50_A0A9P4X1V0	330	Chitin-binding type-1 domain-containing protein n=15 Tax=Sordariomycetes TaxID=147550 RepID=A0A9P4X1V0_9HYPO	2	A0AAN6Y7C6,A0A0A1TGW4
UniRef50_A0A9P5CJ60	209	Transglycosylase SLT domain-containing protein n=3 Tax=leotiomyceta TaxID=716546 RepID=A0A9P5CJ60_CRYP1	3	A0A9P6GAB0,A0A9P5CJ60,A0A9Q9DPW7
UniRef50_A0A9P5LBH9	170	Uncharacterized protein n=1 Tax=Cylindrodendrum hubeiense TaxID=595255 RepID=A0A9P5LBH9_9HYPO	1	A0A9P5LBH9
UniRef50_A0A9P5LE25	181	Lysozyme n=3 Tax=sordariomyceta TaxID=715989 RepID=A0A9P5LE25_9HYPO	3	A0A9P5LE25,A0A086TBZ4,A0A0C3DA01
UniRef50_A0A9P5R889	294	Lysozyme (Fragment) n=2 Tax=Linnemannia TaxID=2779861 RepID=A0A9P5R889_9FUNG	2	A0A197JJ61,A0A9P5R889
UniRef50_A0A9P5SC77	178	Glycoside hydrolase family 19 catalytic domain-containing protein n=4 Tax=Fungi TaxID=4751 RepID=A0A9P5SC77_9FUNG	4	A0A9P5SEI5,A0A318Z0R8,A0A9P5SC77,A0A2K0W8A1
UniRef50_A0A9P5ZJV8	548	Lysozyme n=1 Tax=Pleurotus eryngii TaxID=5323 RepID=A0A9P5ZJV8_PLEER	1	A0A9P5ZJV8
UniRef50_A0A9P6E7U8	330	Lysozyme-like domain-containing protein n=1 Tax=Crepidotus variabilis TaxID=179855 RepID=A0A9P6E7U8_9AGAR	1	A0A9P6E7U8
